id,city_id,cityname,pack_id,fhash,fname,ctype
152,3550308,BR-SP-SaoPaulo,35,67ad6d63c2e736d614ba522ff1066f76fe47ddf923772d786e750926f658d398,SIRGAS_SHP_LOTES_17_CAMPO_LIMPO.zip,lotes
153,3550308,BR-SP-SaoPaulo,35,bd548451a1f77878c8438ad7becdfdf6d5acb1400b0e1b26c771e0885e13e6f8,SIRGAS_SHP_LOTES_18_CANGAIBA.zip,lotes
154,3550308,BR-SP-SaoPaulo,35,001a7cedda7e09e33ee1e3418adf0c1d0d83b3d9edde55c835443b7ce74740f3,SIRGAS_SHP_LOTES_19_CAPAO_REDONDO.zip,lotes
155,3550308,BR-SP-SaoPaulo,35,38e7e3a23de1117a2e4afbf8517359c2157260c4beabb6e6ec0a1f347f828d7a,SIRGAS_SHP_LOTES_20_CARRAO.zip,lotes
156,3550308,BR-SP-SaoPaulo,35,c8da532e19bae78a03507ebaa16698523a5dbc5166b22ba2e1be620d4b029eb5,SIRGAS_SHP_LOTES_21_CASA_VERDE.zip,lotes
157,3550308,BR-SP-SaoPaulo,35,48f4e830ad22625e3fd2f2af2fdb43ad2cccf993e53abd8665605618fc6b27e9,SIRGAS_SHP_LOTES_22_CIDADE_ADEMAR.zip,lotes
158,3550308,BR-SP-SaoPaulo,35,2ab77d7d4dde2864add1edccfe310441f7463b344f542a2b5e2daaf608554db0,SIRGAS_SHP_LOTES_23_CIDADE_DUTRA.zip,lotes
159,3550308,BR-SP-SaoPaulo,35,29f726b85307b04495a725ace504ff7d268ecb4d1cfb344679600deaa9586a57,SIRGAS_SHP_LOTES_24_CIDADE_LIDER.zip,lotes
160,3550308,BR-SP-SaoPaulo,35,ea5dd4343a2638f762748b3aac008a6e440cf3540d6aad8b9aa20dc8572e69d1,SIRGAS_SHP_LOTES_25_CIDADE_TIRADENTES.zip,lotes
161,3550308,BR-SP-SaoPaulo,35,415b729a39bfca64dd718f1d3e8d409e62e0e5cf9a2945d9f8ebfc7a0c70a07a,SIRGAS_SHP_LOTES_26_CONSOLACAO.zip,lotes
162,3550308,BR-SP-SaoPaulo,35,decaaf63d81440d2d6b6bde233abfe47f483999f6ab372d56cf7deb58337bbfd,SIRGAS_SHP_LOTES_27_CURSINO.zip,lotes
163,3550308,BR-SP-SaoPaulo,35,a180f37c33a9a1faeac55123e0b483d8ffd94424ea66229f722d8fc07294c52c,SIRGAS_SHP_LOTES_28_ERMELINO_MATARAZZO.zip,lotes
